month,entity,role,a,n_active_upcs
2013-01-01,21ST CENTURY SMOKE,incumbent,11.333333333333336,8
2013-02-01,21ST CENTURY SMOKE,incumbent,11.333333333333334,8
2013-03-01,21ST CENTURY SMOKE,incumbent,11.282962962962964,9
2013-04-01,21ST CENTURY SMOKE,incumbent,10.396444444444445,10
2013-05-01,21ST CENTURY SMOKE,incumbent,10.396444444444445,10
2013-06-01,21ST CENTURY SMOKE,incumbent,10.396444444444446,10
2013-07-01,21ST CENTURY SMOKE,incumbent,10.396444444444446,10
2013-08-01,21ST CENTURY SMOKE,incumbent,10.396444444444445,10
2013-09-01,21ST CENTURY SMOKE,incumbent,10.396444444444445,10
2013-10-01,21ST CENTURY SMOKE,incumbent,10.396444444444445,10
2013-11-01,21ST CENTURY SMOKE,incumbent,10.396444444444446,10
2013-12-01,21ST CENTURY SMOKE,incumbent,9.066666666666668,12
2014-01-01,21ST CENTURY SMOKE,incumbent,9.066666666666668,12
2014-02-01,21ST CENTURY SMOKE,incumbent,9.066666666666668,12
2014-03-01,21ST CENTURY SMOKE,incumbent,9.485128205128206,13
2014-04-01,21ST CENTURY SMOKE,incumbent,9.485128205128206,13
2014-05-01,21ST CENTURY SMOKE,incumbent,9.485128205128206,13
2014-06-01,21ST CENTURY SMOKE,incumbent,9.066666666666668,12
2014-07-01,21ST CENTURY SMOKE,incumbent,9.066666666666668,12
2014-08-01,21ST CENTURY SMOKE,incumbent,8.572121212121212,11
2014-09-01,21ST CENTURY SMOKE,incumbent,8.901818181818182,11
2014-10-01,21ST CENTURY SMOKE,incumbent,8.572121212121212,11
2014-11-01,21ST CENTURY SMOKE,incumbent,8.341333333333335,10
2014-12-01,21ST CENTURY SMOKE,incumbent,8.341333333333335,10
2015-01-01,21ST CENTURY SMOKE,incumbent,8.341333333333335,10
2015-02-01,21ST CENTURY SMOKE,incumbent,8.999506172839506,9
2015-03-01,21ST CENTURY SMOKE,incumbent,8.999506172839506,9
2015-04-01,21ST CENTURY SMOKE,incumbent,8.999506172839506,9
2015-05-01,21ST CENTURY SMOKE,incumbent,8.901818181818182,11
2015-06-01,21ST CENTURY SMOKE,incumbent,9.550222222222223,10
2015-07-01,21ST CENTURY SMOKE,incumbent,10.342716049382718,9
2015-08-01,21ST CENTURY SMOKE,incumbent,8.901818181818182,11
2015-09-01,21ST CENTURY SMOKE,incumbent,9.822222222222223,8
2015-10-01,21ST CENTURY SMOKE,incumbent,9.822222222222223,8
2015-11-01,21ST CENTURY SMOKE,incumbent,9.671111111111111,7
2015-12-01,21ST CENTURY SMOKE,incumbent,10.88,7
2016-01-01,21ST CENTURY SMOKE,incumbent,8.827615528170123,9
2016-02-01,21ST CENTURY SMOKE,incumbent,8.827615528170123,9
2016-03-01,21ST CENTURY SMOKE,incumbent,8.827615528170124,9
2016-04-01,21ST CENTURY SMOKE,incumbent,8.571067469191387,8
2016-05-01,21ST CENTURY SMOKE,incumbent,9.628845246969167,8
2016-06-01,21ST CENTURY SMOKE,incumbent,8.827615528170124,9
2016-07-01,21ST CENTURY SMOKE,incumbent,8.827615528170123,9
2016-08-01,21ST CENTURY SMOKE,incumbent,9.450108853679048,7
2016-09-01,21ST CENTURY SMOKE,incumbent,8.571067469191387,8
2016-10-01,21ST CENTURY SMOKE,incumbent,9.628845246969165,8
2016-11-01,21ST CENTURY SMOKE,incumbent,9.450108853679048,7
2016-12-01,21ST CENTURY SMOKE,incumbent,9.450108853679048,7
2017-01-01,21ST CENTURY SMOKE,incumbent,9.450108853679048,7
